"","site_id","tran_id","date","col_point","1_dist","2_dist","3_dist","4_dist","point_mean_dist","point_mean_area","point_density","shr_m_area","shr_med_area","shr_m_density","shr_med_density"
"1","fort_pearce","FP097","3/26/2025",1,0.58,0.48,1.11,0.92,0.7725,0.59675625,1.67572606068223,3.719,1.387,0.745,0.721
"2","fort_pearce","FP097","3/26/2025",2,1.57,1.34,1.31,0.49,1.1775,1.38650625,0.721237282558229,3.719,1.387,0.745,0.721
"3","fort_pearce","FP097","3/26/2025",3,1.35,1.01,1.06,1.08,1.125,1.265625,0.790123456790123,3.719,1.387,0.745,0.721
"4","fort_pearce","FP097","3/26/2025",4,1.46,0.79,2.58,1.06,1.4725,2.16825625,0.461200100311022,3.719,1.387,0.745,0.721
"5","fort_pearce","FP097","3/26/2025",5,6.77,3.06,2.4,2.29,3.63,13.1769,0.0758903839294523,3.719,1.387,0.745,0.721
"6","fort_pearce","FP110","3/26/2025",1,1.8,1.42,1.32,1.68,1.555,2.418025,0.413560653839394,3.658,2.56,0.396,0.391
"7","fort_pearce","FP110","3/26/2025",2,0.95,3,2.8,2.95,2.425,5.880625,0.170049952173451,3.658,2.56,0.396,0.391
"8","fort_pearce","FP110","3/26/2025",3,3.9,1.35,2.45,2.3,2.5,6.25,0.16,3.658,2.56,0.396,0.391
"9","fort_pearce","FP110","3/26/2025",4,1.2,0.9,1.15,1.1,1.0875,1.18265625,0.845554234377065,3.658,2.56,0.396,0.391
"10","fort_pearce","FP110","3/26/2025",5,0.8,1.4,3.2,1,1.6,2.56,0.390625,3.658,2.56,0.396,0.391
"11","fort_pearce","FP119","3/26/2025",1,1.1,0.92,3.11,1.62,1.6875,2.84765625,0.35116598079561,2.845,2.848,0.449,0.351
"12","fort_pearce","FP119","3/26/2025",2,0.79,0.75,0.73,1.72,0.9975,0.99500625,1.0050188126959,2.845,2.848,0.449,0.351
"13","fort_pearce","FP119","3/26/2025",3,1.68,1.82,1.12,2.05,1.6675,2.78055625,0.359640269820112,2.845,2.848,0.449,0.351
"14","fort_pearce","FP119","3/26/2025",4,1.54,1.51,1.66,3.32,2.0075,4.03005625,0.24813549438671,2.845,2.848,0.449,0.351
"15","fort_pearce","FP119","3/26/2025",5,1.96,2.52,1.89,1.19,1.89,3.5721,0.27994736989446,2.845,2.848,0.449,0.351
"16","white_reef","WR037","3/27/2025",1,5.05,5.05,5.05,2.04,4.2975,18.46850625,0.0541462306947537,9.181,7.25,0.137,0.138
"17","white_reef","WR037","3/27/2025",2,1.61,2.7,3.12,2.07,2.375,5.640625,0.177285318559557,9.181,7.25,0.137,0.138
"18","white_reef","WR037","3/27/2025",3,2.05,1.48,2.19,5.05,2.6925,7.24955625,0.137939477330078,9.181,7.25,0.137,0.138
"19","white_reef","WR037","3/27/2025",4,2.66,3.14,1.85,0.95,2.15,4.6225,0.216333153055706,9.181,7.25,0.137,0.138
"20","white_reef","WR037","3/27/2025",5,4.88,1.54,1.13,5.05,3.15,9.9225,0.100781053162006,9.181,7.25,0.137,0.138
"21","white_reef","WR054","3/27/2025",1,5.8,5.05,5.05,5.05,5.2375,27.43140625,0.0364545656495463,14.3,10.758,0.09,0.093
"22","white_reef","WR054","3/27/2025",2,5.05,5.05,1.95,1.07,3.28,10.7584,0.0929506246281975,14.3,10.758,0.09,0.093
"23","white_reef","WR054","3/27/2025",3,4.22,5.05,1.2,0.55,2.755,7.590025,0.131751871700027,14.3,10.758,0.09,0.093
