"","site_id","tran_id","date","col_point","1_dist","2_dist","3_dist","4_dist"
"1","fort_pearce","FP097","3/26/2025",1,58,48,111,92
"2","fort_pearce","FP097","3/26/2025",2,157,134,131,49
"3","fort_pearce","FP097","3/26/2025",3,135,101,106,108
"4","fort_pearce","FP097","3/26/2025",4,146,79,258,106
"5","fort_pearce","FP097","3/26/2025",5,677,306,240,229
"6","fort_pearce","FP110","3/26/2025",1,180,142,132,168
"7","fort_pearce","FP110","3/26/2025",2,95,300,280,295
"8","fort_pearce","FP110","3/26/2025",3,390,135,245,230
"9","fort_pearce","FP110","3/26/2025",4,120,90,115,110
"10","fort_pearce","FP110","3/26/2025",5,80,140,320,100
"11","fort_pearce","FP119","3/26/2025",1,110,92,311,162
"12","fort_pearce","FP119","3/26/2025",2,79,75,73,172
"13","fort_pearce","FP119","3/26/2025",3,168,182,112,205
"14","fort_pearce","FP119","3/26/2025",4,154,151,166,332
"15","fort_pearce","FP119","3/26/2025",5,196,252,189,119
"16","white_reef","WR037","3/27/2025",1,505,505,505,204
"17","white_reef","WR037","3/27/2025",2,161,270,312,207
"18","white_reef","WR037","3/27/2025",3,205,148,219,505
"19","white_reef","WR037","3/27/2025",4,266,314,185,95
"20","white_reef","WR037","3/27/2025",5,488,154,113,505
"21","white_reef","WR054","3/27/2025",1,580,505,505,505
"22","white_reef","WR054","3/27/2025",2,505,505,195,107
"23","white_reef","WR054","3/27/2025",3,422,505,120,55
"24","white_reef","WR054","3/27/2025",4,199,505,505,505
"25","white_reef","WR054","3/27/2025",5,505,172,214,194
"26","white_reef","WR087","3/27/2025",1,505,505,505,505
"27","white_reef","WR087","3/27/2025",2,70,109,67,108
"28","white_reef","WR087","3/27/2025",3,290,315,270,290
"29","white_reef","WR087","3/27/2025",4,174,182,505,300
"30","white_reef","WR087","3/27/2025",5,182,99,200,263
"31","white_reef","WR102","3/27/2025",1,40,82,30,43
"32","white_reef","WR102","3/27/2025",2,228,177,241,732
"33","white_reef","WR102","3/27/2025",3,76,697,88,296
"34","white_reef","WR102","3/27/2025",4,114,125,210,155
"35","white_reef","WR102","3/27/2025",5,128,116,187,56
"36","white_reef","WR121","3/27/2025",1,70,183,360,600
"37","white_reef","WR121","3/27/2025",2,41,909,191,324
"38","white_reef","WR121","3/27/2025",3,304,192,107,135
"39","white_reef","WR121","3/27/2025",4,166,117,410,222
"40","white_reef","WR121","3/27/2025",5,188,89,91,91
"41","paradise_canyon","PC009","3/31/2025",1,187,600,593,87
"42","paradise_canyon","PC009","3/31/2025",2,80,205,135,143
"43","paradise_canyon","PC009","3/31/2025",3,140,122,161,134
"44","paradise_canyon","PC009","3/31/2025",4,160,286,189,164
"45","paradise_canyon","PC009","3/31/2025",5,200,161,137,217
"46","paradise_canyon","PC015","3/31/2025",1,336,77,227,173
"47","paradise_canyon","PC015","3/31/2025",2,213,154,105,80
"48","paradise_canyon","PC015","3/31/2025",3,341,261,200,162
"49","paradise_canyon","PC015","3/31/2025",4,188,44,173,168
"50","paradise_canyon","PC015","3/31/2025",5,308,320,155,158
"51","sun_river","SR015","3/31/2025",1,230,97,210,78
"52","sun_river","SR015","3/31/2025",2,644,505,428,600
"53","sun_river","SR015","3/31/2025",3,266,359,126,139
"54","sun_river","SR015","3/31/2025",4,200,127,236,119
"55","sun_river","SR015","3/31/2025",5,697,505,247,642
"56","sun_river","SR031","3/31/2025",1,153,150,272,135
"57","sun_river","SR031","3/31/2025",2,70,102,216,181
"58","sun_river","SR031","3/31/2025",3,84,148,94,105
"59","sun_river","SR031","3/31/2025",4,209,321,152,276
"60","sun_river","SR031","3/31/2025",5,93,74,125,90
"61","cove_wash","CW065","4/1/2025",1,136,70,83,141
"62","cove_wash","CW065","4/1/2025",2,117,130,103,113
"63","cove_wash","CW065","4/1/2025",3,144,69,98,124
"64","cove_wash","CW065","4/1/2025",4,223,101,123,77
"65","cove_wash","CW065","4/1/2025",5,212,55,93,505
"66","cove_wash","CW070","4/1/2025",1,110,130,200,125
"67","cove_wash","CW070","4/1/2025",2,86,95,106,100
"68","cove_wash","CW070","4/1/2025",3,306,118,135,97
"69","cove_wash","CW070","4/1/2025",4,132,82,110,136
"70","cove_wash","CW070","4/1/2025",5,150,160,104,100
"71","turkey_farm","TF015","4/1/2025",1,163,549,318,338
"72","turkey_farm","TF015","4/1/2025",2,110,120,70,68
"73","turkey_farm","TF015","4/1/2025",3,133,59,219,153
"74","turkey_farm","TF015","4/1/2025",4,205,137,304,97
"75","turkey_farm","TF015","4/1/2025",5,90,124,99,95
"76","turkey_farm","TF045","4/1/2025",1,199,368,378,329
"77","turkey_farm","TF045","4/1/2025",2,176,91,140,121
"78","turkey_farm","TF045","4/1/2025",3,316,63,67,159
"79","turkey_farm","TF045","4/1/2025",4,144,142,118,238
"80","turkey_farm","TF045","4/1/2025",5,235,330,88,59
